dataset,method,dataset_size,f1,accuracy,tn,fp,fn,tp,strategy,T,pool_size,best_k,time_elapsed,seed,avg_ruleset_len,avg_rule_len

CAR,AqClassifier,0.5,0.972568578553616,0.9618055555555556,246,23,10,585,bp,1,1,-1,26.17409062385559,0,24,3.8333333333333335

CAR,AqClassifier,0.5,0.9696969696969697,0.9571759259259259,235,24,13,592,bp,1,1,-1,43.495471715927124,1,27,3.740740740740741

CAR,AqClassifier,0.5,0.9622331691297208,0.9467592592592593,232,38,8,586,bp,1,1,-1,27.478837490081787,2,24,3.9166666666666665

CAR,AqClassifier,0.5,0.9723577235772357,0.9606481481481481,232,19,15,598,bp,1,1,-1,29.317689180374146,3,21,3.857142857142857

CAR,AqClassifier,0.5,0.9715189873417721,0.9583333333333334,214,31,5,614,bp,1,1,-1,45.68793797492981,4,28,3.9285714285714284

CAR,AqClassifier,0.5,0.9763513513513514,0.9675925925925926,258,18,10,578,bp,1,1,-1,29.342660188674927,5,21,3.4285714285714284

CAR,AqClassifier,0.5,0.9711538461538461,0.9583333333333334,222,25,11,606,bp,1,1,-1,36.21330690383911,6,28,3.857142857142857

CAR,AqClassifier,0.5,0.9761316872427984,0.9664351851851852,242,21,8,593,bp,1,1,-1,30.71018385887146,7,21,3.2857142857142856

CAR,AqClassifier,0.5,0.9658048373644704,0.9525462962962963,244,34,7,579,bp,1,1,-1,28.848339796066284,8,24,3.7083333333333335

CAR,AqClassifier,0.5,0.978476821192053,0.9699074074074074,247,12,14,591,bp,1,1,-1,25.76589012145996,9,19,3.6842105263157894

TTT,AqClassifier,0.5,0.899390243902439,0.8622129436325678,118,45,21,295,bp,1,1,-1,49.00644612312317,0,51,4.2745098039215685

TTT,AqClassifier,0.5,0.8693009118541034,0.8204592901878914,107,62,24,286,bp,1,1,-1,39.6306734085083,1,53,4.150943396226415

TTT,AqClassifier,0.5,0.9024000000000001,0.872651356993737,136,32,29,282,bp,1,1,-1,43.61613368988037,2,55,4.290909090909091

TTT,AqClassifier,0.5,0.8536953242835597,0.7974947807933194,99,60,37,283,bp,1,1,-1,57.644469261169434,3,69,4.304347826086956

TTT,AqClassifier,0.5,0.8675799086757991,0.8183716075156576,107,66,21,285,bp,1,1,-1,47.89039373397827,4,65,4.276923076923077

TTT,AqClassifier,0.5,0.8895434462444772,0.8434237995824635,102,69,6,302,bp,1,1,-1,38.05257534980774,5,48,4.1875

TTT,AqClassifier,0.5,0.8755905511811023,0.8350730688935282,122,45,34,278,bp,1,1,-1,43.635169982910156,6,50,4.26

TTT,AqClassifier,0.5,0.8624420401854714,0.81419624217119,111,63,26,279,bp,1,1,-1,49.137311935424805,7,55,4.2

TTT,AqClassifier,0.5,0.8765060240963856,0.8288100208768268,106,66,16,291,bp,1,1,-1,42.524956464767456,8,49,4.020408163265306

TTT,AqClassifier,0.5,0.9156976744186046,0.8789144050104384,106,54,4,315,bp,1,1,-1,43.923296213150024,9,51,4.098039215686274

MONKS1,AqClassifier,0.5,1.0,1.0,135,0,0,142,bp,1,1,-1,2.287182569503784,0,6,2.1666666666666665

MONKS1,AqClassifier,0.5,1.0,1.0,134,0,0,143,bp,1,1,-1,3.0327863693237305,1,9,2.6666666666666665

MONKS1,AqClassifier,0.5,1.0,1.0,137,0,0,140,bp,1,1,-1,3.0499966144561768,2,9,2.6666666666666665

MONKS1,AqClassifier,0.5,1.0,1.0,143,0,0,134,bp,1,1,-1,2.1510376930236816,3,6,2.3333333333333335

MONKS1,AqClassifier,0.5,0.9851851851851852,0.9855595667870036,140,4,0,133,bp,1,1,-1,2.8109660148620605,4,9,2.5555555555555554

MONKS1,AqClassifier,0.5,1.0,1.0,137,0,0,140,bp,1,1,-1,1.8500325679779053,5,4,1.75

MONKS1,AqClassifier,0.5,1.0,1.0,136,0,0,141,bp,1,1,-1,2.910006046295166,6,8,2.375

MONKS1,AqClassifier,0.5,1.0,1.0,141,0,0,136,bp,1,1,-1,2.766958713531494,7,7,2.4285714285714284

MONKS1,AqClassifier,0.5,1.0,1.0,141,0,0,136,bp,1,1,-1,3.1050009727478027,8,10,2.9

MONKS1,AqClassifier,0.5,1.0,1.0,143,0,0,134,bp,1,1,-1,2.7060370445251465,9,8,2.375

MONKS2,AqClassifier,0.5,0.48559670781893,0.5833333333333334,116,86,39,59,bp,1,1,-1,17.720096588134766,0,57,5.0701754385964914

MONKS2,AqClassifier,0.5,0.5327868852459017,0.62,121,82,32,65,bp,1,1,-1,17.20002007484436,1,58,5.103448275862069

MONKS2,AqClassifier,0.5,0.5494505494505494,0.59,102,86,37,75,bp,1,1,-1,19.475955486297607,2,56,5.071428571428571

MONKS2,AqClassifier,0.5,0.5439999999999999,0.62,118,89,25,68,bp,1,1,-1,20.558040618896484,3,72,5.180555555555555

MONKS2,AqClassifier,0.5,0.5116279069767442,0.58,108,90,36,66,bp,1,1,-1,19.35895872116089,4,64,5.171875

MONKS2,AqClassifier,0.5,0.5296442687747036,0.6033333333333334,114,88,31,67,bp,1,1,-1,18.979799270629883,5,62,5.129032258064516

MONKS2,AqClassifier,0.5,0.5234374999999999,0.5933333333333334,111,84,38,67,bp,1,1,-1,19.111992835998535,6,59,5.220338983050848

MONKS2,AqClassifier,0.5,0.5176470588235295,0.59,111,88,35,66,bp,1,1,-1,18.107969284057617,7,59,5.11864406779661

MONKS2,AqClassifier,0.5,0.5041322314049587,0.6,119,75,45,61,bp,1,1,-1,17.37599802017212,8,56,5.160714285714286

MONKS2,AqClassifier,0.5,0.4786324786324786,0.5933333333333334,122,75,47,56,bp,1,1,-1,18.026103019714355,9,60,5.2

MONKS3,AqClassifier,0.5,1.0,1.0,127,0,0,143,bp,1,1,-1,0.9989943504333496,0,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,131,0,0,139,bp,1,1,-1,0.9759998321533203,1,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,121,0,0,149,bp,1,1,-1,1.057999610900879,2,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,133,0,0,137,bp,1,1,-1,0.9680404663085938,3,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,124,0,0,146,bp,1,1,-1,1.037001609802246,4,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,120,0,0,150,bp,1,1,-1,1.0540006160736084,5,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,130,0,0,140,bp,1,1,-1,0.9570002555847168,6,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,119,0,0,151,bp,1,1,-1,1.0489907264709473,7,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,131,0,0,139,bp,1,1,-1,1.2460086345672607,8,3,2.3333333333333335

MONKS3,AqClassifier,0.5,1.0,1.0,126,0,0,144,bp,1,1,-1,1.452998399734497,9,3,2.3333333333333335

VOTE,AqClassifier,0.5,0.9,0.9170506912442397,118,14,4,81,bp,1,1,-1,6.282003879547119,0,9,3.6666666666666665

VOTE,AqClassifier,0.5,0.8994708994708994,0.9124423963133641,113,18,1,85,bp,1,1,-1,10.475997686386108,1,14,3.357142857142857

VOTE,AqClassifier,0.5,0.8862275449101796,0.9124423963133641,124,12,7,74,bp,1,1,-1,5.10996413230896,2,7,3.0

