x y
1.0 0.4450293490724399
2.0 0.534678734187161
3.0 0.5612573442563372
4.0 0.7513906798317924
5.0 0.7513906798317924
6.0 0.9562727745965642
7.0 0.9562727745965642
8.0 0.9115044247787611
9.0 0.9562727745965642
10.0 1.0
11.0 1.0
12.0 1.0
13.0 1.0
14.0 1.0
15.0 1.0
16.0 1.0
17.0 1.0
18.0 1.0
19.0 1.0
20.0 1.0
21.0 1.0
22.0 1.0
23.0 1.0
24.0 1.0
25.0 1.0
26.0 1.0
27.0 1.0
28.0 1.0
29.0 1.0
30.0 1.0
31.0 1.0
32.0 1.0
33.0 1.0
34.0 1.0
35.0 1.0
36.0 1.0
37.0 1.0
38.0 1.0
39.0 1.0
40.0 1.0
41.0 1.0
42.0 1.0
43.0 1.0
44.0 1.0
45.0 1.0
46.0 1.0
47.0 1.0
48.0 1.0
49.0 1.0
50.0 1.0
