x y
1.0 0.326005490047899
2.0 0.6809543946927082
3.0 0.8122575100929974
4.0 0.8194460328407801
5.0 0.8287407053179106
6.0 0.8363008040905977
7.0 0.8701836615412284
8.0 0.928241594109606
9.0 0.9736890584304836
10.0 0.9749973006508104
11.0 0.9768178915802885
12.0 0.9947117683782749
13.0 0.9967574893461515
14.0 0.9971167707832773
15.0 0.9971167707832773
16.0 0.9983221476510067
17.0 0.9991624790619765
18.0 1.0
19.0 1.0
20.0 1.0
21.0 1.0
22.0 1.0
23.0 1.0
24.0 1.0
25.0 1.0
26.0 1.0
27.0 1.0
28.0 1.0
29.0 1.0
30.0 1.0
31.0 1.0
32.0 1.0
33.0 1.0
34.0 1.0
35.0 1.0
36.0 1.0
37.0 1.0
38.0 1.0
39.0 1.0
40.0 1.0
41.0 1.0
42.0 1.0
43.0 1.0
44.0 1.0
45.0 1.0
46.0 1.0
47.0 1.0
48.0 1.0
49.0 1.0
50.0 1.0
