x y
1.0 0.1659350307287094
2.0 0.588036498817168
3.0 0.7831395348837209
4.0 0.7901734104046243
5.0 0.8005730659025789
6.0 0.8063872255489022
7.0 0.8674242424242424
8.0 0.926941809792361
9.0 0.9531445752944125
10.0 0.9557610597350661
11.0 0.9594022415940224
12.0 0.9942335415665546
13.0 0.9942335415665546
14.0 0.9942335415665546
15.0 0.9942335415665546
16.0 0.9966442953020134
17.0 0.998324958123953
18.0 1.0
19.0 1.0
20.0 1.0
21.0 1.0
22.0 1.0
23.0 1.0
24.0 1.0
25.0 1.0
26.0 1.0
27.0 1.0
28.0 1.0
29.0 1.0
30.0 1.0
31.0 1.0
32.0 1.0
33.0 1.0
34.0 1.0
35.0 1.0
36.0 1.0
37.0 1.0
38.0 1.0
39.0 1.0
40.0 1.0
41.0 1.0
42.0 1.0
43.0 1.0
44.0 1.0
45.0 1.0
46.0 1.0
47.0 1.0
48.0 1.0
49.0 1.0
50.0 1.0
