x y
1.0 0.48607594936708864
2.0 0.7738722905682485
3.0 0.8413754853022739
4.0 0.8487186552769359
5.0 0.8569083447332422
6.0 0.8662143826322932
7.0 0.8729430806582144
8.0 0.9295413784268511
9.0 0.9942335415665546
10.0 0.9942335415665546
11.0 0.9942335415665546
12.0 0.9951899951899952
13.0 0.9992814371257484
14.0 1.0
15.0 1.0
16.0 1.0
17.0 1.0
18.0 1.0
19.0 1.0
20.0 1.0
21.0 1.0
22.0 1.0
23.0 1.0
24.0 1.0
25.0 1.0
26.0 1.0
27.0 1.0
28.0 1.0
29.0 1.0
30.0 1.0
31.0 1.0
32.0 1.0
33.0 1.0
34.0 1.0
35.0 1.0
36.0 1.0
37.0 1.0
38.0 1.0
39.0 1.0
40.0 1.0
41.0 1.0
42.0 1.0
43.0 1.0
44.0 1.0
45.0 1.0
46.0 1.0
47.0 1.0
48.0 1.0
49.0 1.0
50.0 1.0
