dataset,method,encoding,avg_metric,std_metric,y,y_std
AUDIO,Find-RS,av,0.9331557394067321,0.001962611335047386,"[0.9223524831985757, 0.9255578898968458, 0.9324395505131863, 0.9348849433819663, 0.933246438517655, 0.9351171868169746, 0.9351171868169746, 0.9334274786756536, 0.9334274786756536, 0.9351171868169746, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536, 0.9334274786756536]","[0.03488882947142684, 0.04633536172629525, 0.05105382893511292, 0.049481935254378946, 0.048075540076563276, 0.04701837622114429, 0.04701837622114429, 0.046669929017002634, 0.046669929017002634, 0.04701837622114429, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634, 0.046669929017002634]"
AUDIO,RIPPER,av,0.9007350782641191,0.05270861232380076,"[0.5481257947033809, 0.8226982184482186, 0.875432261780088, 0.8824863004278694, 0.8841993282736604, 0.8849375325205633, 0.890059581340091, 0.8882426700892173, 0.9121455645803473, 0.9121455645803473, 0.9105070597160358, 0.9126619418709181, 0.9105070597160358, 0.9105070597160358, 0.9120324834448494, 0.9120324834448494, 0.9120324834448494, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637, 0.9138181977305637]","[0.42374036978668533, 0.2581988846532058, 0.10055279705278777, 0.09515905986898499, 0.09327316241444286, 0.08299579483699664, 0.07188312258247918, 0.0697563798672496, 0.05625785100932404, 0.05625785100932404, 0.05434357617755988, 0.05081933592524219, 0.05434357617755988, 0.05434357617755988, 0.05424123056602141, 0.05424123056602141, 0.05424123056602141, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836, 0.052676139695863836]"
AUDIO,ID3,av,0.8830431525103555,0.059240876675889204,"[0.5629313665803479, 0.7496617262148517, 0.7525077976424992, 0.797262922257174, 0.8271901334108003, 0.8550217423476724, 0.8843270512823425, 0.8848625057596486, 0.8749091478829655, 0.8625655919899031, 0.8623436164072172, 0.8777358328682698, 0.8715317857671275, 0.8715317857671275, 0.8665191247694223, 0.8692642228086379, 0.8804485112972203, 0.8861869911755449, 0.8817049500120386, 0.8957769460476633, 0.8994224365019095, 0.8922249798704908, 0.9005101903086181, 0.9062908348668726, 0.9074833506997804, 0.912514921758177, 0.9106281293053466, 0.9085604601324144, 0.9126581369389861, 0.9104472525852445, 0.905757717196621, 0.9079686015503625, 0.9079686015503625, 0.9103622185716391, 0.9199830448308355, 0.9175894278095589, 0.912012609876262, 0.912012609876262, 0.9079686015503625, 0.9139335138310642, 0.9175894278095589, 0.9175894278095589, 0.9175894278095589, 0.9175894278095589, 0.9190829343030653, 0.9190829343030653, 0.9135061163697685, 0.9135061163697685, 0.9150422146800603, 0.910998206354161]","[0.29048683364862377, 0.1717699727907425, 0.17099911241717944, 0.12642323068850883, 0.0931014763753558, 0.07312166045327506, 0.07311620894076648, 0.08231970206170207, 0.05667560901911676, 0.09185675446312533, 0.09166363479909505, 0.09815210825164918, 0.10091360581760521, 0.10091360581760521, 0.10872646581318249, 0.10210789481618572, 0.10507961562169407, 0.08553569587600625, 0.08934952987481837, 0.06900873038077757, 0.06651053071040364, 0.06172206880479279, 0.05806310720125528, 0.0652196670185637, 0.062467529597545216, 0.056177510171319195, 0.05345858350316928, 0.05638849783769457, 0.05964101449213109, 0.05903861204716714, 0.06164908656339491, 0.06239261825031621, 0.06239261825031621, 0.06059692214595086, 0.050164801746989604, 0.05275809245857499, 0.05677614821886019, 0.05677614821886019, 0.06239261825031621, 0.054851909823082336, 0.05275809245857499, 0.05275809245857499, 0.05275809245857499, 0.05275809245857499, 0.05016231302313082, 0.05016231302313082, 0.05452550194290704, 0.05452550194290704, 0.055800518672456785, 0.06170501749271609]"
AUDIO,AQ,av,0.6307316164901519,0.16170091715498316,"[0.0612616310892173, 0.1297529157170718, 0.19925430890948126, 0.2786025087199671, 0.3355054217805141, 0.4281678960709493, 0.46489136137413584, 0.5403744308241833, 0.5958690457202663, 0.6172503415742618, 0.6235448361162648, 0.6268781694495981, 0.6117590633304919, 0.6159431369599436, 0.6252316449360784, 0.6245133698396436, 0.632254711113921, 0.6432101372316528, 0.649807156400564, 0.6633090217568473, 0.668397457130997, 0.6625590942853721, 0.6708525953335902, 0.6895068318532291, 0.6871954837623379, 0.6958452597024694, 0.701456238368647, 0.701456238368647, 0.7166632847819698, 0.7055134589979978, 0.7091454202570776, 0.7153394231092152, 0.7168465153077967, 0.7100786260846865, 0.7156365939526849, 0.7174383957544868, 0.7209156206066918, 0.7194085284081101, 0.7237059545769373, 0.7319698285475782, 0.7408168466487794, 0.7451997987598064, 0.7474381532667633, 0.7485639481213081, 0.7508826294399893, 0.7508826294399893, 0.7508826294399893, 0.753452837010197, 0.749429915992817, 0.7517194782823794]","[0.062310313108859455, 0.10485038292028982, 0.17218548163755612, 0.18129332191860703, 0.14264294000086214, 0.11399269131233569, 0.10061650772725277, 0.14937508594766916, 0.12904874069260144, 0.12198853455353853, 0.11842341439277951, 0.11532767593110023, 0.10451697275929257, 0.10404146033919519, 0.09159714562574701, 0.09611923349118831, 0.0926813711991952, 0.0824603001925808, 0.07946131216047875, 0.07816574064328333, 0.08340768150222654, 0.055307839848851, 0.07101081475276295, 0.07869450668056283, 0.06691218910745117, 0.07038461474276905, 0.06857604512356688, 0.06857604512356688, 0.04396342285227336, 0.06167626194166285, 0.0610129469977813, 0.051615752115549425, 0.05160920617507584, 0.056860329867763786, 0.05208844332828178, 0.05001026229550075, 0.054770889171234564, 0.05488889722650985, 0.05488566982195051, 0.04931398348591407, 0.06025908950976771, 0.04301240761096365, 0.041239141789189755, 0.04882449328424774, 0.055919946804478024, 0.055919946804478024, 0.055919946804478024, 0.059101469116443095, 0.06312400828787532, 0.06318251708865925]"
AUDIO,BRS,av,0.9136392207135487,0.012787031387005173,"[0.8521476813320998, 0.895368721929447, 0.8941119670463855, 0.8887733314044791, 0.8979815000474304, 0.8979815000474304, 0.8982891923551225, 0.9009226765180186, 0.9006701447360749, 0.9091420117437476, 0.9091420117437476, 0.9091420117437476, 0.9105467527446255, 0.9127016348995076, 0.9091420117437476, 0.9134839225562468, 0.9148886635571246, 0.9157128393813003, 0.9157128393813003, 0.9157128393813003, 0.9157128393813003, 0.9157128393813003, 0.9157128393813003, 0.9143080983804225, 0.918391032989673, 0.9160100806087206, 0.9174148216095984, 0.9197957739905508, 0.9160100806087206, 0.9197957739905508, 0.9174148216095984, 0.9174148216095984, 0.9193571774993228, 0.9193571774993228, 0.9193571774993228, 0.9249712125870421, 0.9249712125870421, 0.9249712125870421, 0.9249712125870421, 0.9193571774993228, 0.9193571774993228, 0.9249712125870421, 0.9249712125870421, 0.9249712125870421, 0.9249712125870421, 0.9249712125870421, 0.9233983148253964, 0.9233983148253964, 0.9249712125870421, 0.9233983148253964]","[0.1510858208920802, 0.06276564221076625, 0.062250696492914155, 0.059560988104748365, 0.06350217531657339, 0.06350217531657339, 0.06361547128700218, 0.061074525029710745, 0.061551888523758466, 0.05257770557335529, 0.05257770557335529, 0.05257770557335529, 0.053592677059780706, 0.05001384407293986, 0.05257770557335529, 0.04722666939138741, 0.048227789630025254, 0.04777166603182004, 0.04777166603182004, 0.04777166603182004, 0.04777166603182004, 0.04777166603182004, 0.04777166603182004, 0.046785534001499755, 0.04126057566104411, 0.04522293104462541, 0.04619066667065428, 0.04223991070340903, 0.04522293104462541, 0.04223991070340903, 0.04619066667065428, 0.04619066667065428, 0.04552068651915339, 0.04552068651915339, 0.04552068651915339, 0.043386252085592644, 0.043386252085592644, 0.043386252085592644, 0.043386252085592644, 0.04552068651915339, 0.04552068651915339, 0.043386252085592644, 0.043386252085592644, 0.043386252085592644, 0.043386252085592644, 0.043386252085592644, 0.044097105216981555, 0.044097105216981555, 0.043386252085592644, 0.044097105216981555]"
BREAST,Find-RS,av,0.6054926228148674,0.12747607127170454,"[0.11460255970751516, 0.20431736244112203, 0.28838393309990407, 0.34419808984096406, 0.4055638564683572, 0.4490471636528615, 0.4854933117011151, 0.5054573953820256, 0.5461879590884614, 0.5622575406927456, 0.5766924528059959, 0.5851603507624353, 0.5935218495577577, 0.6043696227980705, 0.6125835710407974, 0.6224906275294264, 0.6396891441469259, 0.6425267211614363, 0.6514606569834556, 0.6539138310645682, 0.6571330746709677, 0.656752577157681, 0.6599904016782919, 0.6584809144706052, 0.6629395003693135, 0.6600013663709794, 0.6622235885932016, 0.6663204479769662, 0.6634373096099568, 0.6673636838261863, 0.670424790139325, 0.6716852943410057, 0.6711944173246284, 0.6724156900295218, 0.6794593339016679, 0.6750739889699291, 0.6780583509154102, 0.6780583509154102, 0.6765437591366102, 0.6775227599630924, 0.6760729885216883, 0.6800809152118296, 0.6800809152118296, 0.6809406901554993, 0.6807836638826877, 0.6838253119033157, 0.6838253119033157, 0.6838253119033157, 0.6853533753767216, 0.6868450563864749]","[0.08041168466288577, 0.08563147755795827, 0.073722164481403, 0.060756197482694535, 0.07942218770781341, 0.07899539065863138, 0.07212854858249501, 0.06839086900359341, 0.05671445244440773, 0.05410962057719715, 0.0585877819240434, 0.05203352758496059, 0.052896723720622686, 0.05162676308046351, 0.04350644115448231, 0.04325820640537426, 0.04400477626612524, 0.0394890637542006, 0.026084433225916092, 0.024658928907945833, 0.027373704265120303, 0.04109106003048907, 0.04304811774296106, 0.04623367499301756, 0.04720210640186111, 0.045241494735137104, 0.04496771525311062, 0.03781354682974625, 0.037130504459147645, 0.038071873488648794, 0.0395167974909545, 0.035979569277623386, 0.039272412446705963, 0.03342178395817835, 0.0311383839182479, 0.029601389400048275, 0.030167962065238696, 0.030167962065238696, 0.03086084604171822, 0.0305952796567421, 0.03141944590815231, 0.026727544689011045, 0.026727544689011045, 0.03173001162109921, 0.03204120840565533, 0.035126737232295056, 0.035126737232295056, 0.035126737232295056, 0.037433086389749994, 0.040064201242348066]"
BREAST,RIPPER,av,0.41086601235959264,0.024656375997291823,"[0.24936007248694092, 0.4027712173600131, 0.43506014972236373, 0.41977164840303444, 0.41537224200530654, 0.4154428956092797, 0.43192319303087806, 0.4328879325569096, 0.4218380698643195, 0.42336254669101836, 0.4293788432476335, 0.4269991499636568, 0.4236427430610403, 0.4174981523144649, 0.42502561112100884, 0.4244245373581704, 0.4226576046023428, 0.4244966146066754, 0.420084250903923, 0.4200624265563452, 0.4204481213573626, 0.41783675422986644, 0.41594860028456554, 0.41530570139502726, 0.41274553754454085, 0.41054512124956616, 0.41054512124956616, 0.41054512124956616, 0.41054512124956616, 0.40793375412207, 0.40793375412207, 0.4104939179725564, 0.40793375412207, 0.40793375412207, 0.40793375412207, 0.40793375412207, 0.40793375412207, 0.40793375412207, 0.40793375412207, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815, 0.4049888919666815]","[0.14443722947033633, 0.0925607900426045, 0.10771702780497562, 0.08450590357548517, 0.07814731352535322, 0.08417344243856184, 0.07048960412642277, 0.07145877355317033, 0.06676865042691664, 0.06650316931765327, 0.07196610882415622, 0.06829114874647096, 0.06506129608654869, 0.06487340652251464, 0.06611069037406131, 0.06738721942930179, 0.0690224814909761, 0.06769714536106397, 0.06789768055463771, 0.06934757402226399, 0.0689938442803456, 0.07090697743798609, 0.0684952491922033, 0.0688652918402106, 0.06938853322593816, 0.07094914107795157, 0.07094914107795157, 0.07094914107795157, 0.07094914107795157, 0.07245487411223198, 0.07245487411223198, 0.07212493721008563, 0.07245487411223198, 0.07245487411223198, 0.07245487411223198, 0.07245487411223198, 0.07245487411223198, 0.07245487411223198, 0.07245487411223198, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002, 0.07525826277480002]"
BREAST,ID3,av,0.47755371644207206,0.12973577194536606,"[0.097973764386563, 0.1398781031697177, 0.18563570849583047, 0.21120159341777506, 0.2312992555575813, 0.2572074915967754, 0.2899500766451383, 0.3099003277922576, 0.3443167244023777, 0.36273514832919856, 0.3795951325129091, 0.3955893977227058, 0.43244441630109864, 0.455324584750488, 0.47713915470494417, 0.48675525872534553, 0.5074651033416423, 0.5168408048642963, 0.5205679302462572, 0.5275556782254713, 0.5489940285440152, 0.5447612556825326, 0.556005303968816, 0.5571048640282807, 0.5509207340738989, 0.5512734521289346, 0.5487307632658183, 0.5552328934322044, 0.558409610254982, 0.5512412417218906, 0.551574575055224, 0.5579020584032666, 0.5633303461315649, 0.5638496106919252, 0.5535459636670642, 0.5566418056109013, 0.5512573411148001, 0.5561667726351402, 0.5513744855451588, 0.5564793741059992, 0.5564756980347377, 0.5513851051251777, 0.5524388126788853, 0.5585365150568788, 0.5601876391291286, 0.5720351925649173, 0.5724338313715707, 0.5775440030197178, 0.5798854621885365, 0.5825914276832607]","[0.07202149728409213, 0.07315220796482635, 0.07785844207479188, 0.08655209742751221, 0.07395057718772474, 0.08053967958329496, 0.07932291703962714, 0.08251239456804974, 0.08009139125691479, 0.07689526732223287, 0.06265910978201, 0.053440255401911066, 0.05014472551650566, 0.046239507181026956, 0.04687263978295763, 0.045488077203105014, 0.049542210037760964, 0.05734054836614139, 0.05701814856823174, 0.057460646868319976, 0.05151235193139284, 0.05202792282181193, 0.04803117912349822, 0.04249261126468092, 0.05887249934427374, 0.05977682941388979, 0.06641201890515765, 0.06857935639598775, 0.06876094064068666, 0.058513581183504755, 0.058704632787025965, 0.057493447828836114, 0.05101354047026681, 0.05001840447071954, 0.045738156642873014, 0.043359250432278125, 0.037645535512487026, 0.03645125361316186, 0.03815254321760467, 0.041169219977948396, 0.03917367400182799, 0.03864117681202922, 0.04042590335000281, 0.04543357438725121, 0.04450873015682523, 0.050825355520046814, 0.056240925263482296, 0.05776906004892964, 0.061723685956921424, 0.06322264650762227]"
BREAST,AQ,av,0.5718099245757378,0.1262444991052951,"[0.10526052449965492, 0.19171388239090106, 0.27418876448936247, 0.3330384252244952, 0.3653235177373451, 0.40990549866483894, 0.44276589946596456, 0.4668019557353097, 0.477036295937505, 0.487411223056081, 0.504602174204428, 0.5139620152215839, 0.5344773551742426, 0.5554320328054505, 0.5798754020450785, 0.5894007548751496, 0.5994520053428115, 0.598703542364998, 0.6075465880166055, 0.6139234437903497, 0.6238403070451775, 0.62340937599772, 0.6273339344397708, 0.6343782946639568, 0.6390679909452797, 0.6360023754925683, 0.640850454381568, 0.6460666008556979, 0.6444924913828702, 0.6442350398720716, 0.6445386638418922, 0.6438000734566756, 0.6421331838543927, 0.6382787863181879, 0.6430250728062409, 0.6457899265487257, 0.6429562314387156, 0.6461706049381826, 0.6444717617972954, 0.6429506863814831, 0.6435564101217238, 0.6457500694284676, 0.6494238693088749, 0.6512008345340637, 0.6540974852144334, 0.6569528790748463, 0.6599007445085282, 0.6605936206618136, 0.6614460034591788, 0.6629611549743304]","[0.07811609622838697, 0.0956688873113517, 0.09316722856615615, 0.06561087571536119, 0.0724607029251409, 0.05999363726828965, 0.0648373403858895, 0.06391184311369555, 0.0679995634102608, 0.0664732975952379, 0.06664036540715755, 0.07036134500168252, 0.06495475012840876, 0.0533542801511814, 0.033353019998010325, 0.03395837353826614, 0.03707695313762151, 0.036087878971314664, 0.030128844804120977, 0.03803727608581561, 0.03827862388957904, 0.03625292995756959, 0.03802494766572486, 0.038184127337195624, 0.03864850604027284, 0.03896514374651434, 0.041808992879199515, 0.034949824155817495, 0.045475318108007916, 0.048697126811454446, 0.05480067470936635, 0.05311902359064938, 0.05366812121006134, 0.0517288238949238, 0.05472817937621627, 0.05079063984823435, 0.04596797885085838, 0.046343366281178175, 0.04577440726539014, 0.045301177208761714, 0.04308996777430943, 0.04552017908486717, 0.04134484355101093, 0.03951326617210506, 0.037055350002408206, 0.03558786265265393, 0.038530071871028866, 0.03716674983469933, 0.03633014442188017, 0.03682880316107633]"
BREAST,BRS,av,0.3916217504151571,0.03951369296178269,"[0.1698109800229454, 0.29823431177713255, 0.4146396396461574, 0.4433191690715909, 0.42548958366412376, 0.34161975640521575, 0.347728655211731, 0.3743798203056588, 0.39494235375551623, 0.42614112955297995, 0.401611855151237, 0.40190266818618336, 0.355282792963367, 0.3787472674229516, 0.3833535917013896, 0.3728177952725681, 0.37809749384980984, 0.3833497379609056, 0.38203589896378853, 0.3924329102246873, 0.3936830113160393, 0.3936568042287295, 0.39296933728002514, 0.38743012097798324, 0.3841820705395327, 0.38744951047681453, 0.381151644867935, 0.4052205967411896, 0.41725622045212274, 0.404461412777058, 0.40184023410562375, 0.41065622037923716, 0.4111308445811924, 0.4131744475851725, 0.42161440427145014, 0.4101090710540426, 0.41210804926112754, 0.407076708364339, 0.4054726049295157, 0.4117145394696105, 0.41000393755775466, 0.40593030383623363, 0.4030339643459813, 0.40377731332876693, 0.4139401933639597, 0.411560500079983, 0.4105137941131023, 0.39801916727796927, 0.40037493650873845, 0.40563814557668454]","[0.15320603832306853, 0.15520513789727908, 0.10150359685877927, 0.1105395706093636, 0.12532816544567343, 0.1817864396673891, 0.17183160907447492, 0.16209688889790638, 0.1275642953464534, 0.11316935204553671, 0.11872576702943859, 0.10948575070732594, 0.15142733114454046, 0.1470468715818545, 0.15098680998633507, 0.14255486509778997, 0.13434296322792988, 0.14322387284367225, 0.15093203989388132, 0.14694194577247366, 0.14579492182895215, 0.14567181684799882, 0.14553263003955885, 0.14724320908922442, 0.1409477232766295, 0.1317156708655815, 0.12501996953565714, 0.11536993562647122, 0.12218551245659404, 0.13084363391654105, 0.12949210762473265, 0.12381386503771734, 0.11798358239439494, 0.12997093834239215, 0.1310728469088892, 0.13881302731722012, 0.1475804770518149, 0.13739715251971935, 0.13747966175538534, 0.141576900708236, 0.1403132162624547, 0.14233581861804062, 0.14201283413823088, 0.14268172462866852, 0.13904506235174852, 0.1369109602600912, 0.13534278103692515, 0.12358023343283708, 0.1251210292961129, 0.13002703501842475]"
